SubFunctionID|Descr|FunctionID
580|Food & Beverage Management|13
581|Head - Facilities|13
582|Housekeeping|13
583|Property Manager|13
584|Repair and Maintenance|13
585|Security Management|13
586|Facility Management - Other|13
587|Airline Services|14
588|Cabin Crew Supervisor|14
589|Flight Attendant / Steward|14
590|Airline Services - Other|14
591|Aviation Engineering|14
592|Aerospace Engineer|14
593|Aircraft / Flight Technician|14
594|Aircraft Maintenance Engineer|14
595|Aviation Engineer|14
596|Flight Engineer|14
597|Radio Engineer / Operator|14
598|Aviation Engineering - Other|14
599|Flight & Airport Operations|14
600|Air Traffic Controller|14
601|Airport Duty Manager|14
602|Airport Operations Manager|14
603|Aviation Security Officer|14
604|Cargo Agent / Cargo Officer|14
605|Flight Dispatcher|14
606|Flight Load Controller|14
607|Ground Staff|14
608|Ramp Agent|14
609|Revenue Management Analyst|14
610|Ticketing & Reservation Executive|14
611|Flight & Airport Operations - Other|14
612|Pilot|14
613|Cadet Pilot|14
614|Captain / Commander|14
615|Co-Pilot / First Officer / Second Officer|14
616|Flight Instructor|14
617|Helicopter Pilot|14
618|UAV Pilot|14
619|Pilot - Other|14
620|Aviation & Aerospace - Other|14
621|Construction Engineering|15
622|3D Designer|15
623|Billing / Planning Engineer|15
624|Chief Engineer|15
625|Civil Engineer|15
626|Construction / Site Supervisor|15
627|Construction Materials Manager|15
628|Electrical Engineer|15
629|FEA Engineer|15
630|Geotechnical Engineer|15
631|Layout Engineer|15
632|Mechanical Engineer|15
633|MEP Engineer|15
634|Project Engineer|15
635|Structural Engineer|15
636|Tender Executive|15
637|Tender Manager|15
638|Transportation Engineer|15
639|Tunnel Engineer|15
640|Construction Engineering - Other|15
641|Surveying|15
642|Geographic Information System / GIS|15
643|Hydrographic Surveying|15
644|Land Surveying|15
645|Quantity Surveying|15
646|Surveying - Other|15
647|IT Consulting|16
648|Cloud Consultant|16
649|Functional Consultant|16
650|IT Security Consultant|16
651|Subject Matter Expert - IT|16
652|Technical Consultant|16
653|Transition Manager|16
654|IT Consulting - Other|16
655|Management Consulting|16
656|Associate / Consultant|16
657|Associate Partner|16
658|Engagement Manager|16
659|Partner / Director|16
660|Principal Consultant|16
661|Sr. Consultant|16
662|Management Consulting - Other|16
663|Other Consulting|16
664|Buying / Merchandising Consultant|16
665|Career Coach|16
666|Environmental Consultant|16
667|Executive Assistant|16
668|Financial Consultant|16
669|Human Resources Consultant|16
670|Image Consultant|16
671|Marketing Consultant|16
672|Operations Consultant|16
673|Risk & Compliance Consultant|16
674|Sales Consultant|16
675|Security Consultant|16
676|Social Media Consultant|16
677|Other Consulting - Other|16
678|Content Management (Print / Online / Electronic)|17
679|Chief Content Officer (CCO)|17
680|Content Creation / Writer|17
681|Content Designer / Strategist|17
682|Content Moderator|17
683|Content Publisher|17
684|Technical Content Developer|17
685|Content Management (Print / Online / Electronic) - Other|17
686|Instructional Designer|17
687|Editing (Print / Online / Electronic)|17
688|Assignment Editor|17
689|Copy Editor|17
690|Editor / Content Analyst|17
691|Editor In Chief|17
692|Input / Output Editor|17
693|Managing Editor|17
694|Editing (Print / Online / Electronic) - Other|17
695|Journalism|17
696|Anchorperson|17
697|Reporting / Corresponding|17
698|Journalism - Other|17
699|Content, Editorial & Journalism - Other|17
700|CSR & Sustainability|18
701|CSR Coordinator/Associate|18
702|CSR Head|18
703|CSR Manager|18
704|Sustainability Manager|18
705|CSR & Sustainability - Other|18
706|Social & Public Service|18
707|Civil Servant|18
708|Fundraising Officer|18
709|Social Worker|18
710|Volunteer - Social & Public Service|18
711|Social & Public Service - Othe|18
712|Downstream|19
713|Chemical Engineer (Refining)|19
714|Engineering Support Manager|19
715|Mechanical Engineer (Refining)|19
716|Process Engineer (Refining)|19
717|Project Engineer (Refining)|19
718|Refinery Maintenance Manager|19
719|Refinery Manager|19
720|Refinery Operations Manager|19
721|Refinery Operator|19
722|Downstream - Other|19
723|Midstream|19
724|Pipeline Control Center Operator|19
725|Pipeline Design Engineer|19
726|Pipeline Project Supervisor|19
727|Supervisor - Instrumentation Pipeline|19
728|Midstream - Other|19
729|Mining|19
730|Construction Manager|19
731|Electrical Engineer (Mining)|19
732|Geo Technician|19
733|Metallurgist|19
734|Mine Manager|19
735|Mining Engineer|19
736|Mining Geologist|19
737|Mining Surveyor|19
738|Planning Engineer|19
739|Process Engineer (Mining)|19
740|Mining - Other|19
741|Power Generation|19
742|Business Development Manager - Power Generation|19
743|Engineering Supervisor|19
744|Nuclear Engineer|19
745|Plant Maintenance Manager|19
746|Plant Mechanical Engineer|19
747|Plant Performance Engineer|19
748|Plant Project Manager|19
749|Power Plant Technician|19
750|Power Production Manager|19
751|Power Generation - Other|19
752|Power Supply and Distribution|19
753|Distribution Supervisor|19
754|Distribution System Designer|19
755|Engineering Services Supervisor|19
756|Load Dispatcher|19
757|Power Supply Manager|19
758|Power Supply Technician|19
759|Supply & Transmission Services Supervisor|19
760|Power Supply and Distribution - Other|19
761|Upstream|19
762|Completion Engineer|19
763|Derrickman|19
764|Drilling Engineer|19
765|Exploration and Production Director|19
766|Exploration Manager|19
767|Geologist|19
768|Geophysicist|19
769|Geoscientist Manager|19
770|Oil Field Manager|19
771|Operations Manager - Upstream|19
772|Petrophysicist|19
773|Production Engineer (Oil and Gas)|19
774|Production Manager (Oil & Gas)|19
775|Project Engineer|19
776|Reservoir Engineer|19
777|Rig Supervisor|19
778|Upstream - Other|19
779|Energy & Mining - Other|19
780|Community Health & Safety|20
781|EHS Officer|20
782|Food Safety|20
783|Community Health & Safety - Other|20
784|Occupational Health & Safety|20
785|Chief Safety Officer (CSO)|20
786|Construction Safety|20
787|Hazard / Fire / Injury|20
788|Risk Control|20
789|Safety Consulting|20
790|Safety Operations|20
791|Occupational Health & Safety - Other|20
792|Environment Health and Safety - Other|20
793|Events & Banquet|21
794|Banquet Manager|21
795|Catering Executive|21
796|Catering Manager / Supervisor|21
797|Event Executive|21
798|Event Planner / Manager|21
799|Sponsorship / Partnership Manager|21
800|Events & Banquet - Other|21
801|F&B Service|21
802|Bar Manager|21
803|Barista|21
804|Bartender|21
805|Busser|21
806|Captain / Restaurant Supervisor|21
807|F&B Manager|21
808|Head - F&B|21
